name,version,description,license
lombok,1.18.24,,
logback-classic,1.2.3,,
logback-core,1.2.3,,
proxy-proto-defs,1.4-SNAPSHOT,,
annotations,4.1.1.4,,
proto-google-common-protos,2.0.1,,
jsr305,3.0.2,,
gson,2.8.6,,
error_prone_annotations,2.4.0,,
failureaccess,1.0.1,,
guava,30.1.1-jre,,
listenablefuture,9999.0-empty-to-avoid-conflict-with-guava,,
j2objc-annotations,1.3,,
protobuf-java-util,3.21.1,,
protobuf-java,3.21.1,,
grpc-api,1.37.0,,
grpc-context,1.37.0,,
grpc-core,1.37.0,,
grpc-netty-shaded,1.37.0,,
grpc-protobuf-lite,1.37.0,,
grpc-protobuf,1.37.0,,
grpc-services,1.37.0,,
grpc-stub,1.47.0,,
perfmark-api,0.23.0,,
jakarta.annotation-api,1.3.5,,
grpc-client-spring-boot-autoconfigure,2.12.0.RELEASE,,
grpc-client-spring-boot-starter,2.12.0.RELEASE,,
grpc-common-spring-boot,2.12.0.RELEASE,,
grpc-server-spring-boot-autoconfigure,2.12.0.RELEASE,,
grpc-server-spring-boot-starter,2.12.0.RELEASE,,
grpc-spring-boot-starter,2.12.0.RELEASE,,
checker-qual,3.8.0,,
animal-sniffer-annotations,1.19,,
jcl-over-slf4j,1.7.30,,
jul-to-slf4j,1.7.30,,
log4j-over-slf4j,1.7.30,,
slf4j-api,1.7.30,,
spring-boot-autoconfigure,2.4.5,,
spring-boot-starter-logging,1.5.13.RELEASE,,
spring-boot-starter,2.4.5,,
spring-boot,2.4.5,,
spring-aop,5.3.6,,
spring-beans,5.3.6,,
spring-context,5.3.6,,
spring-core,5.3.6,,
spring-expression,5.3.6,,
spring-jcl,5.3.6,,
snakeyaml,1.27,,
protobuf-def,1.0-SNAPSHOT,,
protobuf-support-core,1.28,,
apiguardian-api,1.1.0,,
junit-jupiter-api,5.7.0,,
junit-jupiter-engine,5.7.0,,
junit-platform-commons,1.7.0,,
junit-platform-engine,1.7.0,,
mapstruct-processor,1.5.1.Final,,
mapstruct,1.5.1.Final,,
opentest4j,1.2.0,,
common,1.0-SNAPSHOT,,
jackson-annotations,2.11.4,,
jackson-core,2.11.4,,
jackson-databind,2.11.4,,
json-path,2.4.0,,
android-json,0.0.20131108.vaadin1,,
jakarta.activation-api,1.2.2,,
jakarta.xml.bind-api,2.3.3,,
byte-buddy-agent,1.10.22,,
byte-buddy,1.10.22,,
accessors-smart,1.2,,
json-smart,2.3,,
aspectjweaver,1.9.6,,
assertj-core,3.18.1,,
hamcrest,2.2,,
junit-jupiter-params,5.7.0,,
junit-jupiter,5.7.0,,
mockito-core,3.6.28,,
mockito-junit-jupiter,3.6.28,,
objenesis,3.1,,
asm,5.0.4,,
jsonassert,1.5.0,,
spring-boot-starter-aop,2.7.0,,
spring-boot-starter-test,2.7.0,,
spring-boot-test-autoconfigure,2.4.5,,
spring-boot-test,2.4.5,,
spring-test,5.3.6,,
xmlunit-core,2.7.0,,
repository,1.0-SNAPSHOT,,
service-proxy,1.0-SNAPSHOT,,
ics,1.0-SNAPSHOT,,
jackson-datatype-jdk8,2.11.4,,
jackson-datatype-jsr310,2.11.4,,
jackson-module-parameter-names,2.11.4,,
spring-boot-starter-json,2.7.0,,
spring-web,5.3.6,,
grpc-testing,1.37.0,,
opencensus-api,0.28.0,,
junit,4.13.2,,
hamcrest-core,2.2,,
service-ics,1.0-SNAPSHOT,,
proxy,1.0-SNAPSHOT,,
boot-ics,1.0-SNAPSHOT,,
boot-proxy,1.0-SNAPSHOT,,
